"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"225239_at",3.68261722697968,9.50248012585747,14.5273566141221,1.99864182631751e-31,1.0927574185391e-26,60.4691102853901
"227062_at",3.05782512363069,9.04798830988016,12.274887121751,4.3639704878285e-25,1.19300043211012e-20,46.2514288746235
"205711_x_at",-1.95625601734835,10.0404579045488,-11.9637195488239,3.28413879523992e-24,5.98534295432476e-20,44.2827904898286
"213726_x_at",-1.73591996684994,10.7275042991689,-11.8947744103322,5.13408259886694e-24,6.82405187103407e-20,43.8469271704322
"200802_at",-1.42851380647099,9.07852988490962,-11.8646495123799,6.24055955284323e-24,6.82405187103407e-20,43.656527887094
"213366_x_at",-1.89855205830156,10.4438685427857,-11.7782435266053,1.09207493571709e-23,9.95153285172199e-20,43.1105870467204
"208977_x_at",-1.77922360638543,10.3162853681964,-11.7389918992975,1.40801743333784e-23,1.09976218811066e-19,42.8626739525785
"201322_at",-1.67440759234163,10.597343746026,-11.5605780628521,4.46498622614682e-23,2.99176713913734e-19,41.7366314518297
"208870_x_at",-1.88263548294668,10.1420612717172,-11.5361702008164,5.22797418456943e-23,2.99176713913734e-19,41.5826980732557
"235213_at",2.43912822088605,7.43193057144807,11.5291135334415,5.47191063399606e-23,2.99176713913734e-19,41.5381992420941
"209026_x_at",-1.64034291796935,9.12181591207802,-11.3888175289596,1.35407249121172e-22,6.73035576881826e-19,40.6540504052997
"201400_at",-1.43504324465201,8.74396763559937,-11.2764302219034,2.79565744081216e-22,1.27377142147004e-18,39.9466011732888
"211714_x_at",-1.56438030282029,9.83949010229134,-11.1070103117336,8.32485731850491e-22,3.5012428760712e-18,38.8817067987198
"201199_s_at",-1.32666525929168,9.99432068996359,-11.09076694724,9.24193432782288e-22,3.60930542409797e-18,38.7797155904273
"236439_at",2.64397887384682,6.93553031585328,11.0644161215816,1.09489209389741e-21,3.99088168225606e-18,38.6143022638044
"202507_s_at",-2.43650725631765,8.87433096318497,-10.9894956142827,1.77223362048168e-21,6.05605457498975e-18,38.1442931994804
"227404_s_at",-1.65803452519537,9.56868970721991,-10.8881401417821,3.39733218130374e-21,1.04633267585013e-17,37.5091715930001
"213476_x_at",-1.87674829306823,9.74147317545266,-10.8859812609988,3.44471662831318e-21,1.04633267585013e-17,37.4956529133869
"220796_x_at",1.64024073188092,11.4702272351439,10.8111403450448,5.56640708804103e-21,1.60180688178233e-17,37.027261558778
"203656_at",-1.44572877690625,9.80557190464297,-10.7846897807466,6.59449572258907e-21,1.72513466464247e-17,36.8618419673557
"200640_at",-1.82640391946,10.3477184296111,-10.7839450866199,6.62603163374338e-21,1.72513466464247e-17,36.8571856494925
"238558_at",1.94469510746732,7.75091395944544,10.7680231616926,7.33747239873273e-21,1.77303036765543e-17,36.7576436782394
"209583_s_at",-1.75277263346278,8.81894753564207,-10.7614637305547,7.65228195398002e-21,1.77303036765543e-17,36.7166418156493
"200039_s_at",-1.4060159214894,9.018873814269,-10.7588218443653,7.78284935047652e-21,1.77303036765543e-17,36.7001289912486
"219549_s_at",-1.87383905018443,11.3355803097382,-10.7490792956142,8.28384967837761e-21,1.81167792466118e-17,36.6392399558329
"236081_at",-1.8062449000588,9.96065281004567,-10.7298468582818,9.36925004350265e-21,1.97024517741734e-17,36.5190675321059
"202154_x_at",-1.71454318618032,10.4502125471489,-10.7202554156092,9.96245326392572e-21,2.01739678594496e-17,36.4591494225931
"232426_at",-1.7788818064997,9.57233185517454,-10.7140238873791,1.03677859888627e-20,2.02449535336097e-17,36.4202256032806
"202712_s_at",-1.58541588227894,10.2348809440349,-10.6945667830008,1.17423117896373e-20,2.15834727832052e-17,36.298715633044
"208732_at",-1.30615008552986,9.11101243146839,-10.6932349941407,1.184278342014e-20,2.15834727832052e-17,36.2903999463458
"221476_s_at",-1.27018140421905,12.2409792045751,-10.6801535294038,1.28764023822032e-20,2.27102354918375e-17,36.2087286300576
"49452_at",2.01587676172396,9.2732167002308,10.5882751576227,2.31642379321442e-20,3.92077235877405e-17,35.6355931598024
"227084_at",1.55920792873315,12.1113487991288,10.5849296141735,2.3664469655152e-20,3.92077235877405e-17,35.6147401896106
"201628_s_at",-1.38566962357709,9.75414019954203,-10.5724216919255,2.56319965290908e-20,4.01294013531734e-17,35.536788043572
"200882_s_at",-1.00206121194898,10.4983526456455,-10.5720756515001,2.56886885662747e-20,4.01294013531734e-17,35.5346316785698
