"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","aerobic respiration","31/369","254/16221",0.122047244094488,5.36511747007234,10.6978796393467,2.15562182841518e-14,1.24250042189851e-10,1.24250042189851e-10,"FH/TPI1/COX5B/UCHL1/UQCRC2/COX7B/MDH1/IDH3G/GPI/UQCRFS1/ATP5MF/IDH3A/ATP5F1C/PFKM/NDUFAB1/ATP5IF1/NDUFS7/IDH3B/ATP5F1B/GHITM/CHCHD2/UQCR10/PDK3/NDUFA9/ENO2/COXFA4/MDH2/NDUFA7/SNCA/LDHA/SDHB",31
"GO:0045333","cellular respiration","32/369","287/16221",0.111498257839721,4.90139089544205,10.1740667886686,1.04068569080779e-13,2.99925616090806e-10,2.99925616090806e-10,"FH/TPI1/COX5B/UCHL1/UQCRC2/COX7B/MDH1/TTC19/IDH3G/GPI/UQCRFS1/ATP5MF/IDH3A/ATP5F1C/PFKM/NDUFAB1/ATP5IF1/NDUFS7/IDH3B/ATP5F1B/GHITM/CHCHD2/UQCR10/PDK3/NDUFA9/ENO2/COXFA4/MDH2/NDUFA7/SNCA/LDHA/SDHB",32
"GO:0015980","energy derivation by oxidation of organic compounds","33/369","360/16221",0.0916666666666667,4.02960704607046,8.86888137724739,1.01418923661342e-11,1.94859558661324e-08,1.94859558661324e-08,"FH/TPI1/COX5B/UCHL1/UQCRC2/COX7B/MDH1/TTC19/IDH3G/GPI/UQCRFS1/ATP5MF/IDH3A/ATP5F1C/PFKM/NDUFAB1/ATP5IF1/NDUFS7/IDH3B/ATP5F1B/GHITM/CHCHD2/UQCR10/PDK3/NDUFA9/ENO2/COXFA4/MDH2/NDUFA7/SNCA/LDHA/SDHB/EPM2AIP1",33
"GO:0006091","generation of precursor metabolites and energy","34/369","414/16221",0.0821256038647343,3.61018813086682,8.2081225239806,9.88965488200885e-11,1.42509926849748e-07,1.42509926849748e-07,"FH/TPI1/COX5B/UCHL1/UQCRC2/COX7B/MDH1/TTC19/IDH3G/GPI/UQCRFS1/ATP5MF/SLC25A4/IDH3A/ATP5F1C/PFKM/NDUFAB1/ATP5IF1/NDUFS7/IDH3B/ATP5F1B/GHITM/CHCHD2/UQCR10/PDK3/NDUFA9/ENO2/COXFA4/MDH2/NDUFA7/SNCA/LDHA/SDHB/EPM2AIP1",34
"GO:0006119","oxidative phosphorylation","18/369","127/16221",0.141732283464567,6.23045899750336,9.02830537072497,5.99651830161335e-10,6.91278629809987e-07,6.91278629809987e-07,"COX5B/UQCRC2/COX7B/UQCRFS1/ATP5MF/ATP5F1C/NDUFAB1/ATP5IF1/NDUFS7/ATP5F1B/GHITM/CHCHD2/UQCR10/NDUFA9/COXFA4/NDUFA7/SNCA/SDHB",18
"GO:0042773","ATP synthesis coupled electron transport","14/369","87/16221",0.160919540229885,7.07391832539015,8.66670719092266,9.34342924082562e-09,7.69364659201698e-06,7.69364659201698e-06,"COX5B/UQCRC2/COX7B/UQCRFS1/NDUFAB1/NDUFS7/GHITM/CHCHD2/UQCR10/NDUFA9/COXFA4/NDUFA7/SNCA/SDHB",14
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","14/369","87/16221",0.160919540229885,7.07391832539015,8.66670719092266,9.34342924082562e-09,7.69364659201698e-06,7.69364659201698e-06,"COX5B/UQCRC2/COX7B/UQCRFS1/NDUFAB1/NDUFS7/GHITM/CHCHD2/UQCR10/NDUFA9/COXFA4/NDUFA7/SNCA/SDHB",14
"GO:0022904","respiratory electron transport chain","15/369","105/16221",0.142857142857143,6.27990708478513,8.28111615472602,1.47814575079773e-08,1.06500401344977e-05,1.06500401344977e-05,"COX5B/UQCRC2/COX7B/TTC19/UQCRFS1/NDUFAB1/NDUFS7/GHITM/CHCHD2/UQCR10/NDUFA9/COXFA4/NDUFA7/SNCA/SDHB",15
"GO:0006163","purine nucleotide metabolic process","30/369","408/16221",0.0735294117647059,3.23230511716882,6.96743742643903,1.71087595467446e-08,1.07208336724264e-05,1.07208336724264e-05,"TPI1/HSPA8/NME1/UCHL1/MDH1/IMPDH2/GPI/ATP5MF/GOT1/ATP5F1C/PDE4C/PFKM/NDUFAB1/GUCY1B1/ATP5IF1/ATP6V1B2/NDUFS7/GOT2/ATP5F1B/MPP1/ATP5MJ/NDUFA9/ENO2/MDH2/NME7/NDUFA7/HINT1/LDHA/SDHB/NMNAT2",30
"GO:1902600","proton transmembrane transport","19/369","175/16221",0.108571428571429,4.7727293844367,7.6557520837659,1.85996420409895e-08,1.07208336724264e-05,1.07208336724264e-05,"COX5B/COX7B/UQCRFS1/ATP5MF/SLC25A4/ATP5F1C/ATP6V1H/ATP6V1E1/ATP6V1B2/NDUFS7/ATP5F1B/GHITM/SLC9A6/ATP6V1F/UQCR10/NDUFA9/COXFA4/NDUFA7/ATP6V1G2",19
