"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","35/219","257/7905",0.136186770428016,4.91578274079207,10.7722529558362,2.04770863238011e-15,7.20793438597797e-13,7.20793438597797e-13,"5700/1329/7345/5710/5707/7385/1349/7386/5682/291/10381/2778/84790/509/5690/10213/4706/801/7846/374291/506/203068/5695/7277/29796/805/4704/4697/818/4701/6622/5691/10376/6390/10383",35
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","33/219","294/7905",0.112244897959184,4.05157953592396,9.00062838803458,3.72675344284332e-12,4.74594929007367e-10,4.74594929007367e-10,"5700/1329/5710/5707/7385/1349/55860/1213/7386/5682/10121/291/10381/84790/509/5690/10213/4706/7846/374291/506/203068/5695/7277/29796/4704/4697/4701/5691/10376/1175/6390/10383",33
"Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","31/219","262/7905",0.118320610687023,4.27088779671651,9.0882380802479,4.48182396662183e-12,4.74594929007367e-10,4.74594929007367e-10,"5700/3312/1329/5710/5707/7385/1349/7386/5682/291/10381/84790/509/5690/10213/4706/7846/1958/374291/506/203068/5695/7277/29796/4704/4697/4701/5691/10376/6390/10383",31
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","37/219","370/7905",0.1,3.60958904109589,8.67814069226741,5.39312419326553e-12,4.74594929007367e-10,4.74594929007367e-10,"5700/10000/1329/5710/5707/7385/1349/7386/1128/5682/291/10381/84790/509/5690/10213/4706/801/673/7846/10313/374291/506/203068/5695/7277/29796/805/4704/488/4697/4701/6622/5691/10376/6390/10383",37
"Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","40/219","461/7905",0.0867678958785249,3.13196446082073,7.96200735573559,5.92806625216435e-11,4.1733586415237e-09,4.1733586415237e-09,"5700/1329/7345/5710/5707/7385/1349/55860/9896/7386/1128/5682/10121/291/10381/84790/509/5690/10213/4706/801/673/7846/374291/506/203068/5695/7277/29796/805/4704/488/4697/818/4701/6622/5691/10376/6390/10383",40
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","19/219","127/7905",0.149606299212598,5.40017258116708,8.43787203343961,1.56023977542933e-09,8.13447365003538e-08,8.13447365003538e-08,"1329/7385/1349/7386/9551/509/51606/529/4706/526/374291/506/9296/29796/4704/4697/4701/6390/534",19
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","32/219","349/7905",0.0916905444126074,3.30965184283864,7.449182103794,1.61765100995022e-09,8.13447365003538e-08,8.13447365003538e-08,"5700/1329/5710/5707/7385/1349/55860/9896/310/7386/5682/10121/10381/84790/509/5690/10213/4706/7846/374291/506/203068/5695/7277/29796/4704/4697/4701/5691/10376/6390/10383",32
"Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","19/219","195/7905",0.0974358974358974,3.51703547593958,6.00723727987508,1.69247065219427e-06,7.44687086965481e-05,7.44687086965481e-05,"10000/1329/7385/1349/7386/291/5590/509/4706/374291/506/29796/5165/4704/488/4697/818/4701/6390",19
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","14/219","112/7905",0.125,4.51198630136986,6.31836658509967,2.25183763711721e-06,8.80718720294732e-05,8.80718720294732e-05,"2271/7167/4190/10873/3421/2821/2805/3419/5213/3420/2806/2026/4191/6390",14
"Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","7/219","29/7905",0.241379310344828,8.71280113367973,7.02350040904461,1.05639258539445e-05,0.000371850190058845,0.000371850190058845,"2271/4190/3421/3419/3420/4191/6390",7
"Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","18/219","215/7905",0.0837209302325581,3.02198152277795,5.07374429288299,2.65004660249757e-05,0.000797684419562744,0.000797684419562744,"10000/1329/7385/1349/7386/291/509/4706/673/374291/506/52/29796/4704/4697/4701/6416/6390",18
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","8/219","45/7905",0.177777777777778,6.41704718417047,6.15110209534576,2.71937870305481e-05,0.000797684419562744,0.000797684419562744,"5700/5710/5707/5682/5690/10213/5695/5691",8
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","10/219","77/7905",0.12987012987013,4.68777797544921,5.48883345615727,4.69121893523076e-05,0.00127023774246248,0.00127023774246248,"26052/1213/51606/529/6616/526/9296/4905/1175/534",10
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","14/219","147/7905",0.0952380952380952,3.43770384866275,5.03570239570101,5.29666240543121e-05,0.00133173226193699,0.00133173226193699,"10381/84790/51606/529/7846/526/9296/203068/1778/7277/1780/10376/10383/534",14
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","9/219","71/7905",0.126760563380282,4.57553540420606,5.10826955956199,0.000136552858158621,0.00304735029677891,0.00304735029677891,"7167/3421/2805/3419/5213/440/3420/2806/2026",9
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","18/219","244/7905",0.0737704918032787,2.66281158769369,4.4533882350926,0.00013851592258086,0.00304735029677891,0.00304735029677891,"10000/55860/5058/10121/10381/84790/998/7846/375/203068/1778/7277/1434/6416/1780/10376/10383/64601",18
"Human Diseases","Endocrine and metabolic disease","hsa04932","Non-alcoholic fatty liver disease","13/219","152/7905",0.0855263157894737,3.08714852198991,4.38566636197217,0.000289854796125329,0.00600169930800681,0.00600169930800681,"10000/1329/7385/1349/7386/998/4706/374291/29796/4704/4697/4701/6390",13
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","7/219","50/7905",0.14,5.05342465753425,4.85321292647228,0.00041240488332474,0.00806480660723936,0.00806480660723936,"2778/51606/529/526/9296/375/534",7
